Time,sFH_FMU.table_ts_price_elec.y[1],sFH_FMU.costs_elec
0,0.14903353,0
900,0.14903353,3.1145007e-19
1800,0.14903353,0.018009229
2700,0.14903353,0.14456166
3600,0.12306805,0.26280835
4500,0.12306805,0.3343193
5400,0.12306805,0.38497472
6300,0.12306805,0.42183593
7200,0.12869589,0.45752123
8100,0.12869589,0.49507445
9000,0.12869589,0.5328003
9900,0.12869589,0.5707431
10800,0.13536592,0.6100126
11700,0.13536592,0.65489393
12600,0.13536592,0.72533166
13500,0.13536592,0.8200752
14400,0.11216969,0.90556246
15300,0.11216969,0.96568006
16200,0.11216969,1.0167166
17100,0.11216969,1.061663
18000,0.11821441,1.1022888
18900,0.11821441,1.1418494
19800,0.11821441,1.1791205
20700,0.11821441,1.2151146
21600,0.120864555,1.2506223
22500,0.120864555,1.2865165
23400,0.120864555,1.3262093
24300,0.120864555,1.3704375
25200,0.128815,1.4655515
26100,0.128815,1.5620267
27000,0.128815,1.6241907
27900,0.128815,1.7062743
28800,0.14787224,1.8031807
29700,0.14787224,1.956575
30600,0.14787224,2.0632112
31500,0.14787224,2.2589552
32400,0.2085874,2.4271717
33300,0.2085874,2.6135805
34200,0.2085874,2.872223
35100,0.2085874,3.0459878
36000,0.22865704,3.1872985
36900,0.22865704,3.3369777
37800,0.22865704,3.4701588
38700,0.22865704,3.596513
39600,0.25042397,3.7224808
40500,0.25042397,3.890008
41400,0.25042397,4.1839185
42300,0.25042397,4.5710254
43200,0.28210664,5.0270667
44100,0.28210664,5.435175
45000,0.28210664,5.683828
45900,0.28210664,5.91982
46800,0.28824067,6.1533947
47700,0.28824067,6.2618527
48600,0.28824067,6.346114
49500,0.28824067,6.548174
50400,0.28934243,6.78202
51300,0.28934243,7.0234427
52200,0.28934243,7.2367396
53100,0.28934243,7.362853
54000,0.30074698,7.5075593
54900,0.30074698,7.682834
55800,0.30074698,7.8710794
56700,0.30074698,8.064746
57600,0.37697592,8.259871
58500,0.37697592,8.523267
59400,0.37697592,8.808704
60300,0.37697592,9.117552
61200,0.4465646,9.447259
62100,0.4465646,9.845336
63000,0.4465646,10.258486
63900,0.4465646,10.796365
64800,0.4357258,11.640243
65700,0.4357258,12.456697
66600,0.4357258,13.267278
67500,0.4357258,14.088481
68400,0.41771075,14.876901
69300,0.41771075,15.393372
70200,0.41771075,15.918219
71100,0.41771075,16.438961
72000,0.3629212,16.895134
72900,0.3629212,17.25613
73800,0.3629212,17.608381
74700,0.3629212,17.953142
75600,0.30554107,18.298532
76500,0.30554107,18.650675
77400,0.30554107,19.121975
78300,0.30554107,19.572666
79200,0.29020596,20.01711
80100,0.29020596,20.278006
81000,0.29020596,20.534203
81900,0.29020596,20.794525
82800,0.25358033,21.048508
83700,0.25358033,21.268877
84600,0.25358033,21.275322
85500,0.25358033,21.279251
86400,0.16996671,21.2831
87300,0.16996671,21.285683
88200,0.16996671,21.288244
89100,0.16996671,21.290852
90000,0.15659687,21.293463
90900,0.15659687,21.295872
91800,0.15659687,21.298271
92700,0.15659687,21.300646
93600,0.14581762,21.30304
94500,0.14581762,21.305283
95400,0.14581762,21.307491
96300,0.14581762,21.309721
97200,0.10404059,21.311869
98100,0.10404059,21.314396
99000,0.10404059,21.317783
99900,0.10404059,21.321053
100800,0.0880206,21.326681
101700,0.0880206,21.33035
102600,0.0880206,21.333712
103500,0.0880206,21.336899
104400,0.10115223,21.338299
105300,0.10115223,21.339857
106200,0.10115223,21.341436
107100,0.10115223,21.343025
108000,0.10278996,21.37479
108900,0.10278996,21.423756
109800,0.10278996,21.458628
110700,0.10278996,21.466084
111600,0.12446757,21.470213
112500,0.12446757,21.481136
113400,0.12446757,21.493378
114300,0.12446757,21.537552
115200,0.14575808,21.607616
116100,0.14575808,21.767965
117000,0.14575808,21.906332
117900,0.14575808,22.043602
118800,0.17869136,22.237335
119700,0.17869136,22.47233
120600,0.17869136,22.675558
121500,0.17869136,22.817646
122400,0.2087065,22.957718
123300,0.2087065,23.11128
124200,0.2087065,23.257092
125100,0.2087065,23.395754
126000,0.19730194,23.539162
126900,0.19730194,23.668018
127800,0.19730194,23.78998
128700,0.19730194,23.92267
129600,0.1921803,24.061478
130500,0.1921803,24.160288
131400,0.1921803,24.25389
132300,0.1921803,24.345098
133200,0.13983245,24.437195
134100,0.13983245,24.506018
135000,0.13983245,24.579462
135900,0.13983245,24.654634
136800,0.11913749,24.732264
137700,0.11913749,24.800772
138600,0.11913749,24.868689
139500,0.11913749,24.940697
140400,0.08668064,25.015505
141300,0.08668064,25.071568
142200,0.08668064,25.129034
143100,0.08668064,25.187286
144000,0.09754922,25.24647
144900,0.09754922,25.34318
145800,0.09754922,25.507776
146700,0.09754922,25.673817
147600,0.12795146,25.781443
148500,0.12795146,26.0019
149400,0.12795146,26.222925
150300,0.12795146,26.44274
151200,0.18152016,26.660051
152100,0.18152016,26.855812
153000,0.18152016,27.003683
153900,0.18152016,27.18559
154800,0.1814606,27.380545
155700,0.1814606,27.570517
156600,0.1814606,27.7614
157500,0.1814606,27.939093
158400,0.16115274,28.083069
159300,0.16115274,28.211985
160200,0.16115274,28.340496
161100,0.16115274,28.459482
162000,0.13745031,28.57734
162900,0.13745031,28.679638
163800,0.13745031,28.784622
164700,0.13745031,29.0252
165600,0.13783741,29.28081
166500,0.13783741,29.54528
167400,0.13783741,29.778208
168300,0.13783741,29.930134
169200,0.09805543,29.98215
170100,0.09805543,30.013662
171000,0.09805543,30.045176
171900,0.09805543,30.074913
172800,0.000923088,30.104177
173700,0.000923088,30.104454
174600,0.000923088,30.104729
175500,0.000923088,30.104998
176400,-2.97697e-05,30.105322
177300,-2.97697e-05,30.105314
178200,-2.97697e-05,30.105307
179100,-2.97697e-05,30.1053
180000,-0.000208811,30.105293
180900,-0.000208811,30.105242
181800,-0.000208811,30.105188
182700,-0.000208811,30.105135
183600,-0.003126578,30.105095
184500,-0.003126578,30.10499
185400,-0.003126578,30.104849
186300,-0.003126578,30.104675
187200,-0.00297769,30.104542
188100,-0.00297769,30.104431
189000,-0.00297769,30.104366
189900,-0.00297769,30.10432
190800,0.000952863,30.104275
191700,0.000952863,30.104288
192600,0.000952863,30.104303
193500,0.000952863,30.10432
194400,0.11181237,30.104336
195300,0.11181237,30.109598
196200,0.11181237,30.118488
197100,0.11181237,30.186571
198000,0.26430002,30.22592
198900,0.26430002,30.31795
199800,0.26430002,30.364218
200700,0.26430002,30.506025
201600,0.3660478,30.659601
202500,0.3660478,30.935888
203400,0.3660478,31.248337
204300,0.3660478,31.528921
205200,0.32805243,31.984713
206100,0.32805243,32.415474
207000,0.32805243,32.977192
207900,0.32805243,33.416943
208800,0.27805698,33.721264
209700,0.27805698,34.034405
210600,0.27805698,34.24224
211500,0.27805698,34.43406
212400,0.27016607,34.624096
213300,0.27016607,34.806335
214200,0.27016607,34.983757
215100,0.27016607,35.272064
216000,0.24527256,35.647823
216900,0.24527256,35.900764
217800,0.24527256,36.0686
218700,0.24527256,36.23019
219600,0.24089536,36.395824
220500,0.24089536,36.56308
221400,0.24089536,36.78631
222300,0.24089536,37.111248
223200,0.24116336,37.42109
224100,0.24116336,37.705498
225000,0.24116336,38.00295
225900,0.24116336,38.286827
226800,0.2919628,38.58682
227700,0.2919628,38.895367
228600,0.2919628,39.108925
229500,0.2919628,39.32605
230400,0.36777484,39.550415
231300,0.36777484,39.85052
232200,0.36777484,40.164623
233100,0.36777484,40.481598
234000,0.44215763,40.79947
234900,0.44215763,41.181313
235800,0.44215763,41.562374
236700,0.44215763,41.941685
237600,0.41092163,42.3183
238500,0.41092163,42.68711
239400,0.41092163,43.228542
240300,0.41092163,43.961525
241200,0.35029578,44.691425
242100,0.35029578,45.312057
243000,0.35029578,45.927998
243900,0.35029578,46.241493
244800,0.35050425,46.573704
245700,0.35050425,46.95999
246600,0.35050425,47.363827
247500,0.35050425,47.76419
248400,0.28570962,48.105877
249300,0.28570962,48.349327
250200,0.28570962,48.592697
251100,0.28570962,48.836105
252000,0.31468257,49.079926
252900,0.31468257,49.21281
253800,0.31468257,49.303185
254700,0.31468257,49.38089
255600,0.28365502,49.465923
256500,0.28365502,49.544514
257400,0.28365502,49.624496
258300,0.28365502,49.70841
259200,0.30878675,49.794235
260100,0.30878675,49.857437
261000,0.30878675,49.869118
261900,0.30878675,49.876766
262800,0.32239482,49.881516
263700,0.32239482,49.88637
264600,0.32239482,49.891365
265500,0.32239482,49.896297
266400,0.31539723,49.901333
267300,0.31539723,49.906258
268200,0.31539723,49.91109
269100,0.31539723,49.91597
270000,0.30792323,49.92123
270900,0.30792323,49.93159
271800,0.30792323,49.94178
272700,0.30792323,49.952126
273600,0.30583885,49.95866
274500,0.30583885,49.963245
275400,0.30583885,49.96781
276300,0.30583885,49.972515
277200,0.34014186,49.981182
278100,0.34014186,49.994076
279000,0.34014186,50.00713
279900,0.34014186,50.02027
280800,0.46722978,50.04588
281700,0.46722978,50.086197
282600,0.46722978,50.112514
283500,0.46722978,50.138863
284400,0.54384583,50.29884
285300,0.54384583,50.57283
286200,0.54384583,50.779728
287100,0.54384583,50.80636
288000,0.53273904,50.845444
288900,0.53273904,50.92737
289800,0.53273904,51.266457
290700,0.53273904,51.844467
291600,0.5657616,52.465527
292500,0.5657616,52.95545
293400,0.5657616,53.36205
294300,0.5657616,54.365875
295200,0.56540436,55.53192
296100,0.56540436,56.63718
297000,0.56540436,57.407127
297900,0.56540436,58.037685
298800,0.5431907,58.44441
299700,0.5431907,58.785027
300600,0.5431907,59.124023
301500,0.5431907,59.485706
302400,0.54330987,60.239864
303300,0.54330987,61.02435
304200,0.54330987,61.54107
305100,0.54330987,61.908775
306000,0.5347639,62.235367
306900,0.5347639,62.52433
307800,0.5347639,62.79713
308700,0.5347639,63.08414
309600,0.533007,63.57111
310500,0.533007,64.24019
311400,0.533007,65.07364
312300,0.533007,65.902695
313200,0.538754,66.580345
314100,0.538754,67.25144
315000,0.538754,67.958405
315900,0.538754,68.66591
316800,0.49635163,69.22925
317700,0.49635163,69.66776
318600,0.49635163,70.33532
319500,0.49635163,70.99582
320400,0.56540436,71.75618
321300,0.56540436,72.81137
322200,0.56540436,73.835945
323100,0.56540436,74.99486
324000,0.5506945,76.00522
324900,0.5506945,76.91458
325800,0.5506945,77.365486
326700,0.5506945,77.8176
327600,0.5329773,78.263466
328500,0.5329773,78.700905
329400,0.5329773,79.16519
330300,0.5329773,79.6675
331200,0.46487743,80.17706
332100,0.46487743,80.70482
333000,0.46487743,81.22541
333900,0.46487743,81.75303
334800,0.4196165,82.268196
335700,0.4196165,82.62416
336600,0.4196165,82.97112
337500,0.4196165,83.31637
338400,0.4106834,83.7028
339300,0.4106834,84.10345
340200,0.4106834,84.395294
341100,0.4106834,84.59468
342000,0.2905037,84.73074
342900,0.2905037,84.81943
343800,0.2905037,84.908
344700,0.2905037,85.00184
345600,0.31358084,85.09689
346500,0.31358084,85.1994
347400,0.31358084,85.3021
348300,0.31358084,85.406105
349200,0.28969973,85.51298
350100,0.28969973,85.58957
351000,0.28969973,85.664894
351900,0.28969973,85.742165
352800,0.25161505,85.818756
353700,0.25161505,85.884735
354600,0.25161505,85.952255
355500,0.25161505,86.02117
356400,0.22445849,86.0671
357300,0.22445849,86.07057
358200,0.22445849,86.074036
359100,0.22445849,86.07747
360000,0.23556529,86.08092
360900,0.23556529,86.084496
361800,0.23556529,86.08804
362700,0.23556529,86.09162
363600,0.2822555,86.095184
364500,0.2822555,86.099464
365400,0.2822555,86.11003
366300,0.2822555,86.1206
367200,0.29526803,86.136185
368100,0.29526803,86.32034
369000,0.29526803,86.46851
369900,0.29526803,86.50036
370800,0.30119362,86.5859
371700,0.30119362,86.78304
372600,0.30119362,86.9384
373500,0.30119362,86.96566
374400,0.3857899,87.06336
375300,0.3857899,87.15331
376200,0.3857899,87.35736
377100,0.3857899,87.73741
378000,0.33758104,88.2541
378900,0.33758104,88.733765
379800,0.33758104,89.18432
380700,0.33758104,89.59218
381600,0.28118354,90.01142
382500,0.28118354,90.442276
383400,0.28118354,90.769135
384300,0.28118354,91.02721
385200,0.29211167,91.21817
386100,0.29211167,91.42292
387000,0.29211167,91.782715
387900,0.29211167,92.21021
388800,0.28490567,92.54935
389700,0.28490567,92.76681
390600,0.28490567,92.96755
391500,0.28490567,93.159615
392400,0.28824067,93.35082
393300,0.28824067,93.54447
394200,0.28824067,93.74202
395100,0.28824067,93.944466
396000,0.319566,94.149536
396900,0.319566,94.38011
397800,0.319566,94.61413
398700,0.319566,94.85955
399600,0.35577476,95.10958
400500,0.35577476,95.392044
401400,0.35577476,95.67712
402300,0.35577476,95.96547
403200,0.40877768,96.25872
404100,0.40877768,96.603355
405000,0.40877768,96.96631
405900,0.40877768,97.34505
406800,0.44096655,97.758896
407700,0.44096655,98.5971
408600,0.44096655,99.424095
409500,0.44096655,100.22456
410400,0.41651967,101.010414
411300,0.41651967,101.76582
412200,0.41651967,102.50196
413100,0.41651967,103.236755
414000,0.4042218,103.96678
414900,0.4042218,104.681694
415800,0.4042218,105.426636
416700,0.4042218,105.84029
417600,0.3571147,106.24973
418500,0.3571147,106.702896
419400,0.3571147,107.155266
420300,0.3571147,107.59327
421200,0.2920819,108.01868
422100,0.2920819,108.29843
423000,0.2920819,108.58017
423900,0.2920819,108.857124
424800,0.35348192,109.12728
425700,0.35348192,109.2873
426600,0.35348192,109.39834
427500,0.35348192,109.497086
428400,0.29681644,109.598236
429300,0.29681644,109.6849
430200,0.29681644,109.77352
431100,0.29681644,109.86402
432000,0.29732263,109.95788
432900,0.29732263,110.01692
433800,0.29732263,110.021515
434700,0.29732263,110.02601
435600,0.30169985,110.03049
436500,0.30169985,110.04046
437400,0.30169985,110.05191
438300,0.30169985,110.063614
439200,0.32757598,110.0753
440100,0.32757598,110.08314
441000,0.32757598,110.09338
441900,0.32757598,110.10379
442800,0.33216164,110.11477
443700,0.33216164,110.12342
444600,0.33216164,110.12851
445500,0.33216164,110.133644
446400,0.36735797,110.13869
447300,0.36735797,110.14424
448200,0.36735797,110.14985
449100,0.36735797,110.155396
450000,0.44647527,110.1609
450900,0.44647527,110.16764
451800,0.44647527,110.17451
452700,0.44647527,110.1815
453600,0.55361265,110.18794
454500,0.55361265,110.22219
455400,0.55361265,110.584
456300,0.55361265,110.87848
457200,0.6796584,110.98348
458100,0.6796584,111.089035
459000,0.6796584,111.17519
459900,0.6796584,111.26087
460800,0.68165344,111.675934
461700,0.68165344,112.11757
462600,0.68165344,112.66992
463500,0.68165344,113.98438
464400,0.6339508,115.31152
465300,0.6339508,116.14218
466200,0.6339508,116.97135
467100,0.6339508,117.78365
468000,0.6416928,118.58569
468900,0.6416928,119.389015
469800,0.6416928,120.08236
470700,0.6416928,120.60272
471600,0.69052696,121.14099
472500,0.69052696,122.01534
473400,0.69052696,123.06465
474300,0.69052696,124.37853
475200,0.6729586,125.89914
476100,0.6729586,127.42359
477000,0.6729586,128.65977
477900,0.6729586,129.88232
478800,0.6229333,131.07605
479700,0.6229333,131.90346
480600,0.6229333,132.85786
481500,0.6229333,133.92976
482400,0.6433603,134.98708
483300,0.6433603,135.55681
484200,0.6433603,136.10661
485100,0.6433603,136.67676
486000,0.6871622,137.26147
486900,0.6871622,137.89252
487800,0.6871622,138.5274
488700,0.6871622,139.1613
489600,0.7323636,139.78749
490500,0.7323636,140.47342
491400,0.7323636,141.18892
492300,0.7323636,142.1317
493200,0.8162154,143.55658
494100,0.8162154,145.12709
495000,0.8162154,146.66093
495900,0.8162154,148.16052
496800,0.81422037,149.64513
497700,0.81422037,151.11093
498600,0.81422037,152.55588
499500,0.81422037,153.98782
500400,0.73096406,155.40735
501300,0.73096406,156.24509
502200,0.73096406,157.02448
503100,0.73096406,157.81172
504000,0.6733755,158.58679
504900,0.6733755,159.29976
505800,0.6733755,159.8757
506700,0.6733755,160.4143
507600,0.6202832,160.9585
508500,0.6202832,161.46951
509400,0.6202832,161.9896
510300,0.6202832,162.52887
511200,0.5322626,163.06674
512100,0.5322626,163.30196
513000,0.5322626,163.50298
513900,0.5322626,163.69046
514800,0.3713183,163.88112
515700,0.3713183,164.01202
516600,0.3713183,164.14171
517500,0.3713183,164.26698
518400,0.38388416,164.3886
519300,0.38388416,164.469
520200,0.38388416,164.47488
521100,0.38388416,164.48076
522000,0.35255885,164.48657
522900,0.35255885,164.49194
523800,0.35255885,164.49736
524700,0.35255885,164.50839
525600,0.30673215,164.51993
526500,0.30673215,164.53006
527400,0.30673215,164.54013
528300,0.30673215,164.54897
529200,0.3034567,164.55638
530100,0.3034567,164.56815
531000,0.3034567,164.57982
531900,0.3034567,164.59163
532800,0.30366513,164.5978
533700,0.30366513,164.60252
534600,0.30366513,164.60721
535500,0.30366513,164.61188
536400,0.3424049,164.61647
537300,0.3424049,164.62167
538200,0.3424049,164.62688
539100,0.3424049,164.63205
540000,0.41744277,164.6373
540900,0.41744277,164.64365
541800,0.41744277,164.65007
542700,0.41744277,164.6564
543600,0.45451504,164.66277
544500,0.45451504,165.08556
545400,0.45451504,165.59828
546300,0.45451504,166.25122
547200,0.4793192,166.74397
548100,0.4793192,167.02203
549000,0.4793192,167.45442
549900,0.4793192,167.77542
550800,0.4819396,167.93343
551700,0.4819396,168.10406
552600,0.4819396,168.2307
553500,0.4819396,168.35333
554400,0.4805103,168.47438
555300,0.4805103,169.01816
556200,0.4805103,169.47862
557100,0.4805103,169.83858
558000,0.4944757,170.21185
558900,0.4944757,170.58287
559800,0.4944757,170.96751
560700,0.4944757,171.36104
561600,0.49590498,171.77086
562500,0.49590498,172.36981
563400,0.49590498,173.4593
564300,0.49590498,174.66513
565200,0.49441612,175.64055
566100,0.49441612,176.67487
567000,0.49441612,177.54024
567900,0.49441612,178.21867
568800,0.5045105,178.86937
569700,0.5045105,179.46858
570600,0.5045105,179.90735
571500,0.5045105,180.35934
572400,0.56486833,180.82716
573300,0.56486833,181.35475
574200,0.56486833,181.8881
575100,0.56486833,182.40338
576000,0.6014046,183.05455
576900,0.6014046,183.62527
577800,0.6014046,184.21146
578700,0.6014046,184.80908
579600,0.72390693,185.40553
580500,0.72390693,186.1237
581400,0.72390693,186.86572
582300,0.72390693,187.61179
583200,0.75576824,188.48225
584100,0.75576824,189.94395
585000,0.75576824,191.39638
585900,0.75576824,192.81424
586800,0.7058621,194.24309
587700,0.7058621,195.6067
588600,0.7058621,197.06532
589500,0.7058621,198.56328
590400,0.66798586,200.13373
591300,0.66798586,201.95132
592200,0.66798586,203.72221
593100,0.66798586,204.71843
594000,0.6366605,205.64214
594900,0.6366605,206.531
595800,0.6366605,207.44243
596700,0.6366605,208.38138
597600,0.5536722,209.334
598500,0.5536722,209.8845
599400,0.5536722,210.39313
600300,0.5536722,210.88478
601200,0.4416514,211.37587
602100,0.4416514,211.77345
603000,0.4416514,211.93916
603900,0.4416514,211.96394
604800,0.4416514,211.98705
